,AP_NAME,Airport,Arrival Cancellations,Arrival Diversions,Departure Cancellations,Departure Diversions,Latitude,Longitude,average airborne delay,average airport departure delay,average block delay,average gate arrival delay,average taxi in delay,average taxi out delay,average_gate_departure_delay,average_taxi_out_time,percent on-time airport departures,percent on-time gate arrivals,percent on-time gate departures
705,DETROIT METROPOLITAN WAYNE COUNTY,DTW,1954.0,207.0,1512.0,424.0,42.212444,-83.353389,4.24,14.68,3.27,10.62,2.55,6.06,9.85,20.08,0.7286,0.8224,0.8311
706,DETROIT METROPOLITAN WAYNE COUNTY,DTW,2995.0,206.0,2583.0,402.0,42.212444,-83.353389,4.27,16.63,3.51,12.53,2.88,5.65,11.99,19.78,0.7105,0.8029,0.7995
707,DETROIT METROPOLITAN WAYNE COUNTY,DTW,4484.0,307.0,4103.0,355.0,42.212444,-83.353389,4.88,19.11,5.0,15.31,3.73,7.04,12.88,20.08,0.6483,0.7485,0.7778
708,DETROIT METROPOLITAN WAYNE COUNTY,DTW,2067.0,163.0,1934.0,265.0,42.212444,-83.353389,5.16,16.43,3.94,12.27,2.29,5.2,12.29,17.89,0.6902,0.789,0.7755
709,DETROIT METROPOLITAN WAYNE COUNTY,DTW,2628.0,260.0,2513.0,318.0,42.212444,-83.353389,4.72,18.32,3.28,12.24,2.36,5.39,14.04,17.9,0.6651,0.7947,0.7487
710,DETROIT METROPOLITAN WAYNE COUNTY,DTW,2315.0,190.0,2171.0,252.0,42.212444,-83.353389,4.83,14.41,3.54,9.78,2.06,5.0,10.76,17.39,0.7363,0.8271,0.8091
711,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,2330.0,121.0,2316.0,349.0,42.362972,-71.006417,3.23,15.68,3.23,13.8,1.62,5.0,11.73,18.19,0.7295,0.7696,0.8067
712,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,1633.0,148.0,1640.0,275.0,42.362972,-71.006417,3.2,17.08,3.46,13.77,1.87,5.29,12.81,18.19,0.7174,0.7682,0.7987
713,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,1523.0,79.0,1498.0,215.0,42.362972,-71.006417,3.53,14.82,3.0,11.98,1.86,4.23,11.56,17.15,0.7563,0.795,0.8204
714,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,3633.0,113.0,3621.0,320.0,42.362972,-71.006417,4.26,17.57,4.24,16.17,2.02,5.2,13.38,18.15,0.7065,0.7378,0.7878
715,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,3035.0,137.0,3071.0,275.0,42.362972,-71.006417,4.32,15.99,4.24,14.6,1.49,5.47,11.7,18.39,0.727,0.7612,0.8095
716,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,2838.0,126.0,2891.0,284.0,42.362972,-71.006417,4.22,15.59,4.22,14.92,1.64,5.39,11.52,18.32,0.7492,0.7649,0.8209
717,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,3601.0,183.0,3655.0,354.0,42.362972,-71.006417,4.79,18.72,4.79,17.44,1.75,5.84,14.03,18.91,0.7075,0.7311,0.7897
718,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,4257.0,192.0,4379.0,268.0,42.362972,-71.006417,4.55,21.48,5.01,18.48,2.23,6.8,15.82,19.3,0.6567,0.7024,0.7553
719,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,3302.0,142.0,3359.0,377.0,42.362972,-71.006417,4.43,18.61,5.14,17.55,1.82,5.9,14.18,18.25,0.694,0.7175,0.7739
720,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,4155.0,185.0,4199.0,266.0,42.362972,-71.006417,4.48,18.53,5.19,16.65,2.25,5.91,14.0,18.04,0.6902,0.7267,0.7728
721,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,3343.0,127.0,3332.0,269.0,42.362972,-71.006417,3.96,16.15,4.45,12.95,1.91,6.25,11.35,18.2,0.7234,0.7755,0.8095
722,MANCHESTER,MHT,185.0,7.0,193.0,32.0,42.932806,-71.43575,1.38,22.62,1.99,16.6,0.48,2.03,20.87,11.18,0.637,0.701,0.6649
723,MANCHESTER,MHT,188.0,8.0,183.0,32.0,42.932806,-71.43575,1.34,21.88,2.15,16.31,0.74,3.55,18.83,12.53,0.6301,0.7013,0.684
724,MANCHESTER,MHT,118.0,6.0,121.0,26.0,42.932806,-71.43575,1.4,20.06,1.64,13.98,0.7,2.17,18.47,11.22,0.6704,0.7522,0.6989
725,MANCHESTER,MHT,289.0,10.0,302.0,29.0,42.932806,-71.43575,1.66,19.56,1.86,13.91,0.54,2.03,18.14,11.14,0.6867,0.7609,0.7113
726,MANCHESTER,MHT,233.0,17.0,235.0,42.0,42.932806,-71.43575,2.03,17.94,2.35,13.96,0.6,2.33,16.39,11.44,0.7042,0.7433,0.7355
727,MANCHESTER,MHT,158.0,17.0,170.0,27.0,42.932806,-71.43575,2.16,18.03,2.49,13.31,0.67,2.03,16.6,11.58,0.7193,0.7618,0.7413
728,MANCHESTER,MHT,295.0,24.0,298.0,63.0,42.932806,-71.43575,2.4,19.37,2.97,15.34,0.74,2.75,17.21,12.53,0.7047,0.7305,0.7387
729,MANCHESTER,MHT,426.0,14.0,444.0,67.0,42.932806,-71.43575,3.0,21.9,3.48,18.28,0.88,3.32,19.39,12.94,0.677,0.6758,0.7169
730,MANCHESTER,MHT,252.0,27.0,263.0,76.0,42.932806,-71.43575,2.62,20.37,3.21,16.93,0.85,2.97,18.22,12.48,0.6897,0.6964,0.7221
731,MANCHESTER,MHT,480.0,55.0,534.0,50.0,42.932806,-71.43575,2.53,17.5,2.99,14.73,0.93,3.26,15.17,12.53,0.7278,0.731,0.7626
732,MANCHESTER,MHT,314.0,49.0,340.0,61.0,42.932806,-71.43575,2.4,16.44,2.81,13.24,0.66,3.81,13.75,13.4,0.7253,0.7474,0.7684
733,BUFFALO NIAGARA INTL,BUF,562.0,27.0,612.0,46.0,42.940417,-78.730583,2.33,17.26,2.5,15.96,0.7,2.42,15.53,12.17,0.7237,0.7376,0.7584
734,BUFFALO NIAGARA INTL,BUF,356.0,21.0,422.0,27.0,42.940417,-78.730583,2.33,16.95,2.76,15.31,1.15,3.22,14.56,12.71,0.7248,0.7437,0.7736
735,BUFFALO NIAGARA INTL,BUF,298.0,36.0,330.0,35.0,42.940417,-78.730583,2.37,14.63,2.28,13.34,0.9,1.88,13.48,11.54,0.7638,0.7744,0.7857
736,BUFFALO NIAGARA INTL,BUF,362.0,27.0,387.0,45.0,42.940417,-78.730583,2.66,16.74,2.76,14.96,0.78,2.38,15.14,12.08,0.7338,0.7574,0.7663
737,BUFFALO NIAGARA INTL,BUF,421.0,33.0,483.0,46.0,42.940417,-78.730583,3.08,16.25,2.83,14.56,1.03,3.1,13.93,12.95,0.7362,0.7534,0.7826
738,BUFFALO NIAGARA INTL,BUF,301.0,45.0,344.0,38.0,42.940417,-78.730583,3.33,16.17,3.07,13.92,1.0,3.02,13.9,12.88,0.7502,0.761,0.7901
739,BUFFALO NIAGARA INTL,BUF,539.0,37.0,611.0,60.0,42.940417,-78.730583,3.56,18.18,3.82,16.65,0.93,3.02,16.06,12.88,0.7239,0.7287,0.7606
740,BUFFALO NIAGARA INTL,BUF,622.0,46.0,689.0,54.0,42.940417,-78.730583,3.41,20.01,4.07,19.13,0.83,3.25,17.39,13.03,0.6837,0.6785,0.729
741,BUFFALO NIAGARA INTL,BUF,489.0,37.0,559.0,87.0,42.940417,-78.730583,2.46,17.51,3.59,16.63,1.16,3.17,15.26,12.62,0.712,0.7095,0.7477
742,BUFFALO NIAGARA INTL,BUF,416.0,35.0,456.0,41.0,42.940417,-78.730583,2.08,17.14,3.14,16.67,1.21,3.32,14.94,12.46,0.716,0.7104,0.7535
743,BUFFALO NIAGARA INTL,BUF,435.0,46.0,514.0,40.0,42.940417,-78.730583,2.29,15.0,2.85,15.89,0.85,3.16,12.94,12.41,0.7403,0.7173,0.7764
744,GENERAL MITCHELL INTL,MKE,860.0,59.0,952.0,72.0,42.946931,-87.897068,3.16,19.41,3.57,16.65,1.17,3.02,17.13,12.79,0.6938,0.7126,0.7361
745,GENERAL MITCHELL INTL,MKE,484.0,63.0,546.0,71.0,42.946931,-87.897068,2.76,17.98,3.17,14.8,1.32,3.24,15.46,12.86,0.7026,0.7387,0.7491
746,GENERAL MITCHELL INTL,MKE,372.0,96.0,419.0,65.0,42.946931,-87.897068,2.74,14.02,2.59,11.51,1.07,2.36,12.32,12.1,0.7681,0.7932,0.7984
747,GENERAL MITCHELL INTL,MKE,758.0,72.0,770.0,104.0,42.946931,-87.897068,4.01,15.63,3.39,12.86,0.93,2.8,13.37,12.75,0.7428,0.7791,0.7831
748,GENERAL MITCHELL INTL,MKE,683.0,134.0,708.0,98.0,42.946931,-87.897068,4.39,14.32,3.37,11.85,1.01,2.44,12.58,12.59,0.7547,0.7901,0.7871
749,GENERAL MITCHELL INTL,MKE,670.0,92.0,658.0,94.0,42.946931,-87.897068,3.56,14.26,3.13,11.34,0.84,2.71,12.27,13.3,0.7646,0.7996,0.7979
750,GENERAL MITCHELL INTL,MKE,1162.0,137.0,1200.0,96.0,42.946931,-87.897068,3.27,18.64,4.28,16.45,0.97,3.31,16.13,14.25,0.7014,0.724,0.7409
751,GENERAL MITCHELL INTL,MKE,790.0,80.0,808.0,83.0,42.946931,-87.897068,1.98,18.64,4.75,17.83,0.96,2.99,16.08,13.78,0.6728,0.6779,0.7183
752,GENERAL MITCHELL INTL,MKE,446.0,41.0,477.0,68.0,42.946931,-87.897068,1.75,15.02,3.78,14.85,0.92,2.3,13.46,13.1,0.7353,0.7278,0.7625
753,GENERAL MITCHELL INTL,MKE,371.0,22.0,416.0,57.0,42.946931,-87.897068,2.01,16.05,3.2,14.36,0.91,3.24,14.01,13.12,0.6994,0.7319,0.7396
754,GENERAL MITCHELL INTL,MKE,369.0,22.0,406.0,46.0,42.946931,-87.897068,2.6,12.79,3.43,13.62,0.52,2.42,11.78,12.47,0.753,0.7335,0.7742
755,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1423.0,172.0,1356.0,281.0,44.881972,-93.221778,3.7,15.46,2.95,12.25,0.9,3.74,12.33,16.36,0.7255,0.8037,0.7892
756,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1875.0,187.0,1620.0,295.0,44.881972,-93.221778,3.69,14.69,2.9,11.23,1.15,5.62,10.24,17.8,0.7433,0.8226,0.8312
757,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,868.0,169.0,751.0,197.0,44.881972,-93.221778,3.61,11.47,2.16,8.77,1.18,3.46,8.95,16.09,0.8022,0.855,0.8493
758,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1614.0,157.0,1472.0,214.0,44.881972,-93.221778,4.1,13.26,2.61,10.67,1.45,3.72,10.31,16.51,0.7688,0.8255,0.8267
759,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,2467.0,257.0,2171.0,299.0,44.881972,-93.221778,4.06,14.97,3.23,11.85,2.37,4.3,11.44,17.27,0.7309,0.7997,0.8012
760,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1694.0,235.0,1450.0,316.0,44.881972,-93.221778,4.29,13.71,3.73,11.8,2.24,4.7,9.81,17.59,0.7454,0.8063,0.8252
761,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1988.0,318.0,1729.0,321.0,44.881972,-93.221778,4.36,14.97,3.96,12.48,2.02,4.83,11.11,17.93,0.7249,0.7952,0.8013
762,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,3792.0,466.0,3536.0,344.0,44.881972,-93.221778,4.42,19.32,5.49,16.2,3.49,7.27,13.0,19.31,0.6415,0.7327,0.7719
763,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1380.0,277.0,1238.0,286.0,44.881972,-93.221778,3.66,14.83,3.36,11.05,2.16,5.12,10.9,16.83,0.7204,0.8074,0.8
764,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1935.0,358.0,1785.0,329.0,44.881972,-93.221778,5.03,18.97,3.64,11.89,1.97,7.27,13.01,18.31,0.6256,0.7905,0.7559
765,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MSP,1972.0,304.0,1912.0,307.0,44.881972,-93.221778,5.34,15.33,3.99,10.28,1.4,6.67,10.25,17.44,0.6918,0.8128,0.8041
766,PORTLAND INTL,PDX,404.0,54.0,404.0,123.0,45.588709,-122.596869,1.98,10.65,3.31,10.13,0.75,1.92,9.47,11.29,0.8082,0.8137,0.8275
767,PORTLAND INTL,PDX,330.0,72.0,322.0,125.0,45.588709,-122.596869,2.01,10.38,2.74,9.26,0.8,2.07,9.07,11.54,0.8163,0.8293,0.8373
768,PORTLAND INTL,PDX,294.0,54.0,289.0,107.0,45.588709,-122.596869,2.09,8.98,2.16,8.3,0.62,1.62,7.97,10.81,0.8421,0.848,0.8578
769,PORTLAND INTL,PDX,282.0,60.0,269.0,82.0,45.588709,-122.596869,2.25,10.02,2.53,9.2,0.8,2.3,8.41,11.48,0.8187,0.8255,0.8448
770,PORTLAND INTL,PDX,311.0,57.0,282.0,128.0,45.588709,-122.596869,2.12,9.74,2.08,8.46,0.7,1.69,8.77,11.01,0.8244,0.8396,0.8393
771,PORTLAND INTL,PDX,260.0,76.0,253.0,99.0,45.588709,-122.596869,2.19,9.68,2.33,8.16,0.85,2.39,8.14,11.54,0.826,0.8439,0.8499
772,PORTLAND INTL,PDX,656.0,84.0,652.0,116.0,45.588709,-122.596869,2.32,11.2,2.98,10.38,0.79,2.04,9.99,11.17,0.8037,0.8075,0.8231
773,PORTLAND INTL,PDX,478.0,44.0,442.0,87.0,45.588709,-122.596869,2.41,12.2,3.37,11.7,0.73,1.96,10.77,10.97,0.7815,0.7813,0.8052
774,PORTLAND INTL,PDX,432.0,46.0,446.0,84.0,45.588709,-122.596869,2.54,12.22,3.41,11.46,0.69,2.15,10.93,10.92,0.776,0.7792,0.7963
775,PORTLAND INTL,PDX,505.0,70.0,463.0,83.0,45.588709,-122.596869,2.62,12.41,2.89,11.27,0.98,2.16,11.06,10.28,0.7733,0.7808,0.7933
776,PORTLAND INTL,PDX,1043.0,104.0,1038.0,90.0,45.588709,-122.596869,2.58,10.05,2.7,9.69,0.56,1.78,9.2,10.01,0.819,0.8132,0.8304
777,SEATTLE-TACOMA INTL,SEA,543.0,98.0,502.0,272.0,47.449889,-122.311778,2.75,10.87,3.88,9.86,1.82,3.18,8.63,14.79,0.8063,0.8245,0.848
778,SEATTLE-TACOMA INTL,SEA,441.0,184.0,423.0,201.0,47.449889,-122.311778,2.23,10.09,3.42,8.76,1.86,3.24,7.88,14.54,0.8212,0.8413,0.8626
779,SEATTLE-TACOMA INTL,SEA,671.0,117.0,658.0,236.0,47.449889,-122.311778,2.56,8.86,2.73,8.05,1.32,2.6,7.13,14.05,0.8507,0.8577,0.8806
780,SEATTLE-TACOMA INTL,SEA,509.0,127.0,509.0,203.0,47.449889,-122.311778,2.83,8.65,2.9,8.56,0.96,2.58,6.94,14.09,0.8503,0.8456,0.8786
781,SEATTLE-TACOMA INTL,SEA,458.0,94.0,480.0,253.0,47.449889,-122.311778,3.1,8.96,2.64,8.67,1.17,2.39,7.46,14.32,0.8449,0.848,0.8708
782,SEATTLE-TACOMA INTL,SEA,460.0,181.0,487.0,245.0,47.449889,-122.311778,3.7,10.13,3.36,9.03,1.85,3.39,7.66,15.5,0.8208,0.833,0.867
783,SEATTLE-TACOMA INTL,SEA,1163.0,175.0,1142.0,264.0,47.449889,-122.311778,4.38,12.93,4.33,12.19,1.47,3.57,10.36,15.77,0.7716,0.7763,0.8173
784,SEATTLE-TACOMA INTL,SEA,1242.0,197.0,1077.0,253.0,47.449889,-122.311778,4.18,15.54,4.66,14.16,1.29,4.04,12.38,15.53,0.7152,0.7437,0.7771
785,SEATTLE-TACOMA INTL,SEA,1052.0,180.0,913.0,227.0,47.449889,-122.311778,3.78,14.28,4.15,13.06,1.5,3.8,11.67,14.62,0.7469,0.7632,0.7927
786,SEATTLE-TACOMA INTL,SEA,1161.0,178.0,1006.0,195.0,47.449889,-122.311778,3.63,14.04,3.19,12.53,1.44,3.17,11.83,13.29,0.7512,0.776,0.7911
787,SEATTLE-TACOMA INTL,SEA,1366.0,179.0,1280.0,246.0,47.449889,-122.311778,3.72,12.34,3.13,10.27,1.14,2.98,10.25,13.17,0.7812,0.8107,0.8173
788,TED STEVENS ANCHORAGE INTL,ANC,162.0,28.0,111.0,74.0,61.174083,-149.998194,4.09,12.34,4.57,10.82,0.54,1.33,11.33,11.33,0.8074,0.86,0.8288
789,TED STEVENS ANCHORAGE INTL,ANC,184.0,40.0,141.0,65.0,61.174083,-149.998194,3.4,10.09,3.82,8.46,0.47,1.51,9.18,12.03,0.8228,0.8631,0.8432
790,TED STEVENS ANCHORAGE INTL,ANC,284.0,36.0,216.0,78.0,61.174083,-149.998194,3.86,11.0,3.75,9.33,0.34,1.52,10.01,11.71,0.8235,0.8521,0.8442
791,TED STEVENS ANCHORAGE INTL,ANC,265.0,36.0,191.0,87.0,61.174083,-149.998194,3.92,15.6,4.01,13.93,0.55,1.66,14.56,11.89,0.805,0.8292,0.8276
792,TED STEVENS ANCHORAGE INTL,ANC,204.0,32.0,149.0,84.0,61.174083,-149.998194,3.75,18.83,3.91,20.28,0.37,1.79,17.77,11.97,0.776,0.8045,0.7992
793,TED STEVENS ANCHORAGE INTL,ANC,421.0,80.0,354.0,84.0,61.174083,-149.998194,3.85,15.88,4.19,15.95,0.31,1.55,15.1,12.49,0.7952,0.8264,0.8112
794,TED STEVENS ANCHORAGE INTL,ANC,355.0,57.0,268.0,97.0,61.174083,-149.998194,5.13,14.72,5.93,15.89,0.63,1.86,13.45,13.44,0.7698,0.7573,0.7972
795,TED STEVENS ANCHORAGE INTL,ANC,423.0,54.0,359.0,93.0,61.174083,-149.998194,5.13,17.52,5.87,18.09,0.39,2.29,15.69,13.19,0.7457,0.7196,0.7838
796,TED STEVENS ANCHORAGE INTL,ANC,436.0,50.0,367.0,88.0,61.174083,-149.998194,4.29,17.07,5.83,17.71,0.72,2.54,15.56,12.84,0.7455,0.711,0.7771
797,TED STEVENS ANCHORAGE INTL,ANC,484.0,31.0,424.0,74.0,61.174083,-149.998194,3.65,19.97,4.96,19.35,1.01,2.78,18.36,12.19,0.7061,0.6955,0.7394
798,TED STEVENS ANCHORAGE INTL,ANC,532.0,30.0,473.0,73.0,61.174083,-149.998194,4.03,23.05,5.93,22.62,1.08,2.92,21.45,12.41,0.677,0.6502,0.7109
